,,,,,,,,,,,,Back to 'Table of Contents',,
"Monthly Town Gas Tariffs, 2005 - 2021",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
General Tariffs,,,,,,,,,,,,Unit: ¢ / kWh,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
2007, 16.8 , 16.8 , 16.8 , 16.8 , 16.8 , 16.8 , 16.8 , 17.6 , 17.6 , 17.6 , 18.0 , 18.0 ,,
2008, 18.0 , 19.3 , 19.3 , 19.3 , 19.3 , 19.3 , 19.3 , 20.4 , 21.2 , 21.2 , 21.2 , 21.2 ,,
2009, 21.2 , 15.1 , 15.1 , 15.1 , 15.1 , 15.1 , 15.1 , 16.3 , 16.3 , 16.3 , 18.5 , 18.5 ,,
2010, 18.5 , 18.9 , 18.9 , 18.9 , 18.9 , 18.9 , 18.9 , 18.9 , 18.9 , 18.9 , 18.0 , 18.0 ,,
2011, 18.0 , 18.0 , 18.0 , 18.0 , 18.0 , 18.0 , 18.0 , 19.6 , 19.6 , 19.6 , 21.2 , 21.2 ,,
2012, 21.2 , 21.5 , 21.5 , 21.5 , 22.2 , 22.2 , 22.2 , 21.5 , 21.5 , 21.5 , 21.4 , 21.4 ,,
2013, 21.4 , 21.0 , 21.0 , 21.0 , 21.3 , 21.3 , 21.3 , 20.9 , 20.9 , 20.9 , 21.2 , 21.2 ,,
2014, 21.2 , 21.0 , 21.0 , 21.0 , 21.1 , 21.1 , 21.1 , 21.1 , 21.1 , 21.1 , 20.8 , 20.8 ,,
2015, 20.8 , 19.0 , 19.0 , 19.0 , 17.6 , 17.6 , 17.6 , 18.3 , 18.3 , 18.3 , 17.5 , 17.5 ,,
2016, 17.5 , 16.8 , 16.8 , 16.8 , 16.0 , 16.0 , 16.0 , 16.6 , 16.6 , 16.6 , 16.9 , 16.9 ,,
2017, 16.9 , 17.6 , 17.6 , 17.6 , 18.0 , 18.0 , 18.0 , 17.7 , 17.7 , 17.7 , 17.7 , 17.7 ,,
2018, 17.7 , 18.4 , 18.4 , 18.4 , 18.5 , 18.5 , 18.5 , 19.2 , 19.2 , 19.2 , 19.7 , 19.7 ,,
2019, 19.5 , 19.5 , 19.5 , 18.8 , 18.8 , 18.8 , 19.1 , 19.1 , 19.1 , 18.0 , 18.0 , 18.0 ,,
2020, 17.2 , 17.2 , 17.2 , 17.1 , 17.1 , 17.1 , 16.4 , 16.4 , 16.4 , 17.2 , 17.2 , 17.2 ,,
2021, 17.2 , 17.2 , 17.2 , 18.1 , 18.1 , 18.1 ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bulk Tariff A,,,,,,,,,,,,Unit: ¢ / kWh,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
2007, 15.8 , 15.8 , 15.8 , 15.8 , 15.8 , 15.8 , 15.8 , 16.6 , 16.6 , 16.6 , 17.0 , 17.0 ,,
2008, 17.0 , 18.3 , 18.3 , 18.3 , 18.3 , 18.3 , 18.3 , 19.4 , 20.2 , 20.2 , 20.2 , 20.2 ,,
2009, 20.2 , 14.1 , 14.1 , 14.1 , 14.1 , 14.1 , 14.1 , 15.3 , 15.3 , 15.3 , 17.5 , 17.5 ,,
2010, 17.5 , 17.9 , 17.9 , 17.9 , 17.9 , 17.9 , 17.9 , 17.9 , 17.9 , 17.9 , 17.0 , 17.0 ,,
2011, 17.0 , 17.0 , 17.0 , 17.0 , 17.0 , 17.0 , 17.0 , 18.6 , 18.6 , 18.6 , 20.2 , 20.2 ,,
2012, 20.2 , 20.4 , 20.4 , 20.4 , 21.2 , 21.2 , 21.2 , 20.5 , 20.5 , 20.5 , 20.4 , 20.4 ,,
2013, 20.4 , 20.0 , 20.0 , 20.0 , 20.3 , 20.3 , 20.3 , 19.9 , 19.9 , 19.9 , 20.2 , 20.2 ,,
